Running Time,Self (ms),,Symbol Name
39610.5ms   97.2%,0, ,start
39609.3ms   97.2%,0, , main
1928.9ms    4.7%,1928.904, ,       0x7fff5a641d20
1759.8ms    4.3%,1759.843, ,      0x7fff5a635a80
1640.9ms    4.0%,1640.884, ,      0x7fff5a635b60
352.2ms    0.8%,352.167, ,      0x7fff5a635c50
46.0ms    0.1%,46.01799999999999, ,     DYLD-STUB$$sinf
22.9ms    0.0%,22.921, ,     DYLD-STUB$$powf
20.2ms    0.0%,20.186, ,     DYLD-STUB$$__sincosf_stret
0.1ms    0.0%,0.097, ,     DYLD-STUB$$cosf
2468.0ms    6.0%,2.129, ,    Renderer::RenderFrame(Pipeline const&, PipelineContext const&)
1748.7ms    4.2%,0, ,    usleep
76.9ms    0.1%,0, ,    Renderer::Pass2(Pipeline const&, PipelineContext const&)
1.6ms    0.0%,1.557, ,    BeatDetect::getBeatVals(float*, float*)
70.6ms    0.1%,0.016, ,   glrATI_Hwl_SubmitPacketsWithToken
3.1ms    0.0%,0.193, ,   glClear_Exec
0.0ms    0.0%,0.02, ,   glrFlushContextToken
0.0ms    0.0%,0.014, ,   glFlush
421.2ms    1.0%,0, ,  projectMSDL::pollEvent()
237.4ms    0.5%,0, ,  projectMSDL::projectMSDL(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, int)
213.2ms    0.5%,0.376, ,  0x104e8d210
115.1ms    0.2%,0, ,  0x104e837a0
30.3ms    0.0%,0, ,  0x104ed6640
18.5ms    0.0%,0, ,  0x104ed1cc0
10.4ms    0.0%,0, ,  projectMSDL::~projectMSDL()
6.4ms    0.0%,0, ,  projectMSDL::init(SDL_Window*, SDL_Renderer*)
4.1ms    0.0%,4.071, ,  SDL_RenderPresent
3.3ms    0.0%,0.337, ,  0x104ef74f0
2.4ms    0.0%,0, ,  0x104e88850
1.6ms    0.0%,0, ,  projectMSDL::openAudioInput()
1.2ms    0.0%,0, , exit
857.2ms    2.1%,0, ,thread_start
184.8ms    0.4%,0, ,start_wqthread
76.9ms    0.1%,0, ,_dyld_start
0.2ms    0.0%,0, ,0x1fffffffffffffff
0.2ms    0.0%,0, ,0x400040003ffff
0.0ms    0.0%,0, ,0x60001
0.0ms    0.0%,0, ,0x104d50fff
